,In Isolation,General Ward,Discharged,ICU,Demised
2020-03-27,,,,17.0,2.0
2020-03-28,,,,19.0,2.0
2020-03-29,,,,19.0,3.0
2020-03-30,,,,19.0,3.0
2020-03-31,,,,22.0,3.0
2020-04-01,,,,24.0,3.0
2020-04-02,,,,23.0,4.0
2020-04-03,,,,25.0,5.0
2020-04-04,,,,26.0,6.0
2020-04-05,,,,25.0,6.0
2020-04-06,,,,25.0,6.0
2020-04-07,,,,29.0,6.0
2020-04-08,,,,29.0,6.0
2020-04-09,,,,29.0,6.0
2020-04-10,,,,32.0,7.0
2020-04-11,,,,31.0,8.0
2020-04-12,,,,31.0,8.0
2020-04-13,,,,29.0,9.0
2020-04-14,,,,28.0,10.0
2020-04-15,,,,26.0,10.0
2020-04-16,,,,23.0,10.0
2020-04-17,,,,22.0,11.0
2020-04-18,,,,23.0,11.0
2020-04-19,,,,22.0,11.0
2020-04-20,5829.0,1364.0,436.0,23.0,11.0
2020-04-21,6881.0,1381.0,454.0,27.0,11.0
2020-04-22,7651.0,1571.0,469.0,25.0,12.0
2020-04-23,8880.0,1342.0,484.0,26.0,12.0
2020-04-24,9878.0,1205.0,507.0,24.0,12.0
2020-04-25,10465.0,1190.0,527.0,24.0,12.0
2020-04-26,11241.0,1289.0,546.0,22.0,12.0
2020-04-27,11863.0,1431.0,563.0,20.0,14.0
2020-04-28,12120.0,1668.0,577.0,21.0,14.0
2020-04-29,12725.0,1692.0,594.0,22.0,14.0
2020-04-30,13202.0,1687.0,620.0,21.0,15.0
2020-05-01,14053.0,1741.0,638.0,23.0,16.0
2020-05-02,14474.0,1686.0,662.0,24.0,17.0
2020-05-03,15149.0,1608.0,686.0,22.0,18.0
2020-05-04,15812.0,1466.0,713.0,25.0,18.0
2020-05-05,16289.0,1560.0,733.0,24.0,18.0
2020-05-06,17082.0,1439.0,774.0,23.0,20.0
2020-05-07,17831.0,1357.0,816.0,19.0,20.0
2020-05-08,18402.0,1223.0,835.0,22.0,20.0
2020-05-09,19020.0,1101.0,854.0,23.0,20.0
2020-05-10,19498.0,1075.0,885.0,22.0,20.0
2020-05-11,19448.0,1069.0,903.0,24.0,21.0
2020-05-12,19667.0,1112.0,924.0,20.0,21.0
2020-05-13,19479.0,1018.0,951.0,19.0,21.0
2020-05-14,19032.0,1052.0,995.0,20.0,21.0
2020-05-15,18498.0,1106.0,1019.0,18.0,21.0
2020-05-16,17881.0,1095.0,1033.0,16.0,22.0
2020-05-17,17466.0,1194.0,1054.0,16.0,22.0
2020-05-18,17450.0,1024.0,1059.0,12.0,22.0
2020-05-19,17403.0,994.0,1081.0,10.0,22.0
2020-05-20,17181.0,943.0,1097.0,11.0,22.0
2020-05-21,16771.0,891.0,1100.0,10.0,23.0
2020-05-22,16650.0,790.0,1122.0,8.0,23.0
2020-05-23,16452.0,703.0,1151.0,8.0,23.0
2020-05-24,16027.0,682.0,1190.0,8.0,23.0
2020-05-25,15592.0,599.0,1217.0,8.0,23.0
2020-05-26,15291.0,577.0,1241.0,8.0,23.0
2020-05-27,15052.0,518.0,1269.0,7.0,23.0
2020-05-28,14422.0,503.0,1298.0,7.0,23.0
2020-05-29,13745.0,453.0,1333.0,8.0,23.0
2020-05-30,13242.0,367.0,1422.0,7.0,23.0
2020-05-31,12841.0,313.0,1454.0,8.0,23.0
2020-06-01,12458.0,337.0,1462.0,7.0,24.0
2020-06-02,12306.0,325.0,1469.0,6.0,24.0
2020-06-03,12465.0,329.0,1493.0,5.0,24.0
2020-06-04,12691.0,298.0,1500.0,5.0,24.0
2020-06-05,12643.0,303.0,1516.0,4.0,24.0
